epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66922,1.18628,2.88278,1.49762,0.00686,0.95336,0.27646,0.14481,1.14873,2.84516,1.63931,0.00018337,0.00018337,0.00018337
2,11.2843,1.13837,2.34342,1.49144,0.00623,0.87619,0.23679,0.13176,1.29724,2.68348,1.78706,0.000375818,0.000375818,0.000375818
3,14.9608,1.11881,2.06496,1.47213,0.3689,0.06276,0.22993,0.13958,1.43307,2.55065,1.93124,0.000560345,0.000560345,0.000560345
4,18.6468,1.15344,1.96915,1.50553,0.39177,0.44815,0.34596,0.19584,1.39508,1.98675,2.04208,0.000736951,0.000736951,0.000736951
5,23.3116,1.13773,1.91303,1.47309,0.36429,0.48048,0.39459,0.25386,1.2149,1.83725,1.69171,0.000905634,0.000905634,0.000905634
6,27.0345,1.06464,1.75206,1.41301,0.45474,0.44124,0.38896,0.22136,1.29256,2.35738,1.84904,0.0010664,0.0010664,0.0010664
7,30.6178,1.01357,1.63078,1.37565,0.15757,0.49524,0.21671,0.09359,1.79422,5.54587,2.37869,0.00121924,0.00121924,0.00121924
8,35.1278,1.12844,1.67613,1.43729,0.66512,0.23191,0.34148,0.18475,1.53855,2.79155,2.02559,0.00136416,0.00136416,0.00136416
9,38.7554,1.04001,1.54468,1.36152,0.46223,0.274,0.3309,0.19189,1.46754,2.20498,2.09196,0.00140295,0.00140295,0.00140295
10,42.3657,1.09385,1.54196,1.4088,0.30721,0.35121,0.29254,0.12866,1.7877,2.34911,2.43173,0.00136994,0.00136994,0.00136994
11,46.0656,1.07163,1.47132,1.37771,0.45201,0.39438,0.36226,0.18241,1.55174,2.21548,2.09933,0.00133693,0.00133693,0.00133693
12,50.5096,1.03373,1.41867,1.36409,0.32538,0.43187,0.34351,0.15157,1.75121,2.31385,2.2806,0.00130393,0.00130393,0.00130393
13,54.0088,1.02076,1.40386,1.3538,0.43662,0.49194,0.45688,0.21377,1.71176,2.07363,2.16926,0.00127092,0.00127092,0.00127092
14,57.6748,0.99311,1.34436,1.32257,0.30437,0.39618,0.2737,0.12523,1.8785,2.4987,2.29044,0.00123791,0.00123791,0.00123791
15,62.3228,0.98587,1.28905,1.33281,0.48544,0.52478,0.49679,0.25737,1.5561,1.87163,1.95495,0.00120491,0.00120491,0.00120491
16,65.9585,0.94464,1.2138,1.2932,0.53398,0.55799,0.56766,0.35382,1.29242,1.66798,1.69444,0.0011719,0.0011719,0.0011719
17,69.5235,0.9493,1.20047,1.29574,0.55763,0.55904,0.52534,0.31188,1.27925,1.83057,1.73704,0.00113889,0.00113889,0.00113889
18,74.0973,0.88581,1.14037,1.24629,0.39972,0.60382,0.47383,0.27101,1.29945,1.92355,1.70715,0.00110589,0.00110589,0.00110589
19,77.8323,0.88705,1.10695,1.23687,0.53167,0.63529,0.56911,0.35726,1.21769,1.67609,1.66526,0.00107288,0.00107288,0.00107288
20,81.4088,0.83617,1.07064,1.22148,0.71018,0.70549,0.7128,0.48064,1.1026,1.38054,1.57105,0.00103987,0.00103987,0.00103987
21,85.2241,0.88709,1.06504,1.25795,0.71834,0.57839,0.69002,0.46892,1.05309,1.54427,1.50725,0.00100687,0.00100687,0.00100687
22,89.5818,0.89368,1.08844,1.28863,0.74101,0.71829,0.77738,0.53922,1.08024,1.28554,1.51931,0.000973861,0.000973861,0.000973861
23,93.1559,0.84819,1.01818,1.22733,0.75649,0.718,0.76478,0.53621,1.00227,1.15776,1.42086,0.000940855,0.000940855,0.000940855
24,96.771,0.81834,0.96312,1.18977,0.68799,0.67228,0.71899,0.47071,1.11664,1.33443,1.49374,0.000907848,0.000907848,0.000907848
25,101.467,0.78996,0.94196,1.18057,0.74901,0.80598,0.85116,0.58802,1.03181,0.9965,1.46278,0.000874842,0.000874842,0.000874842
